experiment,dataset,llm,configuration,replicate_id,success,selected_iteration,train_metric,validation_metric,test_metric,metric_name,runtime_minutes
ablation_v5,human_ocr_ensembl,x-ai/grok-4.1-fast,no_model_architecture+none,useless_slugger_release,False,2.0,0.9076562681616194,0.8106290905189371,,ACC,1292.13
ablation_v5,human_ocr_ensembl,x-ai/grok-4.1-fast,no_model_architecture+none,midterm_sinking_hover,True,0.0,0.8281340808097065,0.7591287865240871,0.7608434424353399,ACC,68.6
ablation_v5,human_ocr_ensembl,x-ai/grok-4.1-fast,no_model_training+none,underground_begonia_timed,True,0.0,0.8351349659790956,0.771360108722864,0.7738612954909591,ACC,44.6
ablation_v5,human_ocr_ensembl,x-ai/grok-4.1-fast,no_model_training+none,enthralling_violation_weighed,False,1.0,0.8028039305097324,0.7590930224240907,,ACC,504.8
ablation_v5,human_ocr_ensembl,x-ai/grok-4.1-fast,no_model_training+none,inattentive_barrymore_scorch,True,4.0,0.836583424979659,0.7616322735238368,0.7588120851453422,ACC,65.18
ablation_v5,human_ocr_ensembl,x-ai/grok-4.1-fast,no_all_steps+none,injured_caught_rot,True,1.0,0.8552971576227391,0.7751511033224849,0.7723735408560312,ACC,137.57
ablation_v5,human_ocr_ensembl,x-ai/grok-4.1-fast,no_all_steps+none,compromising_deer_behaved,True,1.0,0.8920450989333262,0.7880261793211973,0.7875658045319295,ACC,939.42
ablation_v5,human_ocr_ensembl,x-ai/grok-4.1-fast,no_all_steps+none,aristotelian_trout_undress,True,2.0,0.7466758859667946,0.7367141120091553,0.7376115815976196,ACC,175.82
ablation_v6,human_ocr_ensembl,gpt-oss:20b,no_model_architecture+none,fallacious_envoy_whispered,True,3.0,0.6906377690154949,0.6939665963306033,0.6793030441748684,ACC,123.55
ablation_v6,human_ocr_ensembl,gpt-oss:20b,no_model_architecture+none,muscled_iguana_happened,False,0.0,0.6873653246068149,0.6759057258324094,,ACC,75.34
ablation_v6,human_ocr_ensembl,gpt-oss:20b,no_model_training+none,breeding_platypus_scream,True,4.0,0.4999955294475291,0.5000178820499982,0.5,ACC,239.67
ablation_v6,human_ocr_ensembl,gpt-oss:20b,no_model_training+none,pushy_threshold_guided,False,0.0,0.8290728968285901,0.7549443868245056,,ACC,395.63
ablation_v6,human_ocr_ensembl,gpt-oss:20b,no_model_training+none,fatigued_pueblo_refused,False,,,,,ACC,111.22
